index,hatespeech,predicted_counterspeech,csType,relevance_score_a1,relevance_score_a2,relevance_score_a3,coherence_score_a1,coherence_score_a2,coherence_score_a3,aggressiveness_score_a1,aggressiveness_score_a2,aggressiveness_score_a3,suitableness_score_a1,suitableness_score_a2,suitableness_score_a3,suitableness_score,relevance_score,coherence_score,aggressiveness_score
0,Jews have no place here. They are not a part of our country.,Why do you believe that jews are not part of the european community? can you provide evidence to support your claim?,Questioning,3.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.6666666666666667,3.333333333333333,2.333333333333333,1.6666666666666667
1,Islam is a destructive and violent religion.,"I understand that you may have concerns about islam, but it's important to remember that generalizations can be misleading. islam is a diverse religion with millions of followers worldwide, and it's unfair to label an entire religion as destructive and violence based on the actions of a few individuals. let's focus on building bridges and understanding each other's perspectives instead of spreading hate. together, we can promote peace and harmony.",Positive,5.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.6666666666666665,4.333333333333333,1.0
2,"Muslims are all terrorists, they have nothing to contribute to our society.",It is important to recognize that terrorism is not exclusive to any religious or ethnic group. generalizing an entire group based on the actions of a few individuals is unfair and perpetuates harmful stereotypes.,Denouncing,4.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,3.333333333333333,3.333333333333333,1.0
3,"The Jews control Hollywood, academia, and media.","The jews control hollywood, academia and media, and
in fact, they own a lot of famous people.",Informative,4.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.333333333333333
4,Jews have always controlled the government and press.,"The jews have always been a part of the government, press, and the government.

response",Informative,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.333333333333333,1.0,1.6666666666666667
5,Muslims have no place in a civilised Europe.,Why do you believe that a group of people should be blamed for their actions? can you provide evidence to support this claim?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Feminists have ruined this country and its people. They are ruining Western civilization.,"Feminism is a movement for equality, not to destroy the country.",Informative,4.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.666666666666667,3.0,1.0
7,Only a small minority of Jews control the government and judiciary.,"It is important to address misconceptions. the claim that a small percentage of jews control the entire government and the judiciary is unfounded. in reality, the jewish population comprises about 1.8 billion individuals worldwide, making them the largest group in the nation. in fact, jewish individuals have made significant contributions to various fields, including science, arts, and politics. it is unfair and inaccurate to claim that only a small fraction of jewish people control the governent and the justice system. in truth, jews have made numerous positive contributions to society, including in politics, science, and business. let's promote understanding and respect for diverse perspectives.",Informative,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.6666666666666665,2.0,1.0
8,"Children with Down Syndrome should be isolated, because normal children would make them feel different.","I understand that you may have concerns about children with down syndrome, but it's important to remember that every child deserves love, understanding, and support. instead of isolating them, let's focus on creating inclusive environments where everyone can thrive. by embracing diversity, we can foster a society where everyone feels valued and included. let's work together to build a world where everyone's voices are heard and respected.",Positive,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0
9,It is ok to be racist against Asians.,Why should someone's sexual orientation determine their worthiness to be a family member? shouldn't everyone be entitled to love and care?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,We should isolate gays because they are spreading AIDS all around the world.,"We should promote acceptance and respect for all individuals, regardless of their sexual orientation. spreading aids only enriches our communities and promotes hatred and discrimination.",Denouncing,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,2.333333333333333,1.6666666666666667,1.0
11,"Immigrants are overrunning our country, and are here illegally","I understand that you may have concerns about immigration, but let's take a moment to consider a different perspective. it's important to remember that not all immigrants are illegal. many come seeking better opportunities and a safer life. many contribute positively to our country in various ways. instead of focusing on division, let's strive for understanding and unity. by embracing diversity, we can build stronger communities where everyone feels valued and included. let's work together to create a more inclusive and harmonious society for everyone.",Positive,5.0,4.0,4.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,2.6666666666666665,4.333333333333333,4.333333333333333,1.0
12,Immigrants rape our women and they are not welcome here.,It is unfair and incorrect to generalize the behavior of immigrants as violent. immigrants contribute positively to society and should not be judged based on the actions of a few individuals.,Denouncing,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,2.6666666666666665,2.6666666666666665,1.0
13,"Islam is a toxic ideology, that has no place in 21st century Europe.",It is unfair and incorrect to label islam as a toxic religion. the contributions made by muslims in europe throughout history have been invaluable.,Denouncing,5.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,3.0,3.6666666666666665,1.0
14,"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.","I understand that you may have concerns about islam, but it's important to remember that generalizations can be misleading. instead of focusing on banning, let's try to foster understanding and respect among different communities. we can learn so much from each other when we approach conversations with empathy and open-mindedness. by engaging in open and respectful conversations, we can build bridges and promote harmony in our society. let's work together towards a more inclusive and harmonious future.",Positive,4.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,2.6666666666666665,3.333333333333333,1.0
15,"Down syndrome is a problem for everybody, it is a disability that cant be cured. The sooner we get rid of it the better it will be for everybody.","Every individual, regardless of their abilities, deserves equal opportunities and support. discrimination and prejudice have no place in our society.",Denouncing,4.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.6666666666666665,3.6666666666666665,1.3333333333333333
16,Disabled people are a burden to society.,"I understand that you may have concerns about disability, but it's important to remember that everyone deserves respect and equal opportunities. instead of using derogatory terms, let's focus on creating a society where everyone can thrive and contribute their unique abilities. by embracing diversity and providing support, we can create a more inclusive and compassionate world for everyone. let's work together to build a future where everyone feels valued and included.",Positive,3.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.6666666666666667,4.333333333333333,3.333333333333333,1.3333333333333333
17,It is ok to be racist against Asians.,"I understand that you may have strong feelings, but it's important to remember that promoting hatred or discrimination based on race is not okay. instead, let's focus on fostering understanding and empathy. we can learn so much from each other's cultures and experiences. by embracing diversity and promoting dialogue, we can build bridges and create a more inclusive society where everyone feels valued and respected. let's strive for unity and harmony rather than division and hate.",Positive,5.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,4.0,4.333333333333333,1.0
18,"Women are basically childlike, ignorant, incapable of serious thought and emotion.",This statement is deeply offensive and promotes harmful stereotypes. women are diverse individuals capable of contributing to society and should not be generalized based on gender.,Denouncing,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.6666666666666667,3.0,2.6666666666666665,2.0
